col_1,col_2,col_3
accesses,8,0.840
accessible,10,1.000
accessions,10,0.840
accessories,11,1.000
accessors,9,0.792
accessory,9,1.000
accident,8,1.000
accidental,10,1.000
accidentally,12,1.000
accidents,9,0.923
acclaim,7,1.000
acclaimed,9,0.963
acclaims,8,1.000
acclamation,11,0.889
acclimate,9,0.880
acclimatized,12,0.316
accolade,8,0.679
accolades,9,0.957
accommodate,11,1.000
accommodated,12,0.963
accommodates,12,1.000
accommodating,13,1.000
accommodation,13,1.000
accommodations,14,1.000
accompanied,11,0.960
accompanies,11,0.926
accompaniment,13,0.679
accompaniments,14,0.417
accompanist,11,0.815
accompanists,12,0.625
accompany,9,1.000
accompanying,12,0.846
accomplice,10,0.926
accomplices,11,0.852
accomplish,10,1.000
accomplished,12,1.000
accomplishes,12,1.000
accomplishing,13,1.000
accomplishment,14,1.000
accomplishments,15,1.000
accord,6,1.000
accordance,10,0.963
accorded,8,1.000
according,9,1.000
accordingly,11,1.000
accordion,9,1.000
accords,7,1.000
accost,6,0.893
accosted,8,0.846
accosting,9,0.893
account,7,0.966
accountability,14,0.964
accountable,11,0.964
accountant,10,1.000
accountants,11,0.960
accounted,9,1.000
accounting,10,1.000
accounts,8,0.964
accredit,8,0.962
accreditation,13,0.750
accredited,10,1.000
accrue,6,0.741
accrued,7,0.704
accrues,7,0.778
accruing,8,0.800
acculturated,12,0.739
acculturation,13,0.579
accumulate,10,1.000
accumulated,11,0.962
accumulates,11,0.960
accumulating,12,1.000
accumulation,12,1.000
accuracy,8,0.963
accurate,8,1.000
accurately,10,1.000
accurst,7,0.760
accusation,10,1.000
accusations,11,0.964
accusative,10,0.773
accuse,6,0.963
accused,7,0.957
accuses,7,0.957
accusing,8,0.964
accusingly,10,0.966
accustom,8,1.000
accustomed,10,0.929
ace,3,1.000
acerbic,7,0.579
aces,4,1.000
acetate,7,0.917
acetone,7,0.889
acetylene,9,0.500
ache,4,1.000
ached,5,0.964
aches,5,0.846
achieve,7,1.000
achieved,8,1.000
achievement,11,1.000
achievements,12,1.000
achieves,8,0.923
achieving,9,1.000
Achilles,8,0.727
aching,6,0.962
acid,4,1.000
acidic,6,1.000
acidity,7,0.962
acids,5,1.000
acknowledge,11,1.000
acknowledged,12,1.000
acknowledgement,15,1.000
acknowledges,12,1.000
acknowledging,13,1.000
acknowledgment,14,1.000
acknowledgments,15,1.000
acme,4,0.963
acne,4,1.000
acolyte,7,0.538
acorn,5,0.889
acorns,6,0.926
acoustic,8,0.964
acoustical,10,0.957
acoustically,12,0.920
acoustics,9,0.960
acquaint,8,0.962
acquaintance,12,1.000
acquainted,10,1.000
acquiesce,9,0.522
acquiesced,10,0.478
acquiescence,12,0.882
acquiescent,11,0.714
acquire,7,0.964
acquired,8,1.000
acquires,8,1.000
acquiring,9,1.000
acquisition,11,0.917
acquisitions,12,0.960
acquisitive,11,0.773
acquisitiveness,15,0.611
acquit,6,1.000
acquittal,9,0.875
acquitted,9,0.923
acre,4,0.963
acreage,7,0.560
acres,5,1.000
acrid,5,0.815
acrimonious,11,0.773
acrimony,8,0.708
acrobat,7,1.000
acrobatic,9,0.923
acrobatics,10,0.893
acrobats,8,1.000
acronym,7,0.926
Acropolis,9,0.682
across,6,1.000
acrylic,7,1.000
act,3,1.000
acted,5,0.962
acting,6,1.000
action,6,1.000
actions,7,1.000
activate,8,1.000
activated,9,1.000
activating,10,1.000
activation,10,1.000
active,6,0.960
actively,8,1.000
activism,8,0.929
activist,8,1.000
activities,10,0.963
activity,8,1.000
actor,5,1.000
actors,6,1.000
actor's,7,1.000
actress,7,0.964
actresses,9,1.000
acts,4,0.964
actual,6,1.000
actualities,11,0.852
actuality,9,0.870
actually,8,1.000
actuary,7,0.923
acuity,6,0.731
acupuncture,11,0.964
acute,5,0.964
acutely,7,1.000
acuteness,9,1.000
ad,2,1.000
Ada,3,0.704
adage,5,0.593
Adam,4,0.963
adamant,7,0.926
adamantly,9,0.846
Adam's,6,1.000
adapt,5,0.964
adaptability,12,0.885
adaptable,9,0.929
adaptation,10,0.889
adaptations,11,0.926
adapted,7,0.962
adapter,7,1.000
adapters,8,1.000
adapting,8,0.962
Ada's,5,0.852
add,3,1.000
added,5,1.000
addendum,8,0.704
adder,5,0.929
addict,6,0.929
addicted,8,0.963
addiction,9,1.000
addicts,7,0.889
adding,6,1.000
addition,8,1.000
additional,10,1.000
additionally,12,1.000
additions,9,1.000
additive,8,0.889
additives,9,0.920
addle,5,0.750
address,7,1.000
addressed,9,1.000
addressee,9,0.889
addressees,10,0.464
addresses,9,1.000
addressing,10,1.000
adds,4,1.000
adduce,6,0.769
Adele,5,0.652
adept,5,0.963
adequacy,8,1.000
adequate,8,0.929
adequately,10,1.000
adhere,6,0.964
adhered,7,0.893
adherence,9,1.000
adherent,8,0.929
adherents,9,1.000
adheres,7,1.000
adhesion,8,0.926
adhesive,8,1.000
adhesives,9,0.962
adieu,5,0.923
adios,5,0.889
adipose,7,0.760
adirondack,10,0.667
adirondacks,11,0.625
adjacent,8,1.000
adjectival,10,0.560
adjective,9,0.741
adjectives,10,0.923
adjoin,6,0.929
adjoined,8,0.963
adjoining,9,1.000
adjoins,7,0.964
adjourn,7,0.929
adjourned,9,0.964
adjourning,10,1.000
adjournment,11,0.893
adjourns,8,0.857
adjudge,7,0.852
adjudged,8,0.750
adjudging,9,0.619
adjudicate,10,0.571
adjudication,12,0.611
adjunct,7,0.815
adjuncts,8,0.760
adjure,6,0.778
adjust,6,1.000
adjustable,10,1.000
adjusted,8,1.000
adjusting,9,0.963
adjustment,10,0.962
adjustments,11,1.000
adjusts,7,1.000
Adlai,5,0.455
administer,10,0.963
administered,12,1.000
administering,13,0.964
administers,11,1.000
administration,14,1.000
administration's,16,0.963
administrative,14,1.000
administratively,16,0.926
administrator,13,0.929
administrators,14,0.962
admirable,9,0.964
admirably,9,0.920
admiral,7,0.889
admirals,8,0.929
admiralty,9,0.440
admiration,10,0.964
admire,6,1.000
admired,7,1.000
admirer,7,0.963
admirers,8,1.000
admires,7,1.000
admiring,8,1.000
admiringly,10,0.963
admissible,10,1.000
admission,9,1.000
admissions,10,1.000
admit,5,1.000
admits,6,1.000
admittance,10,0.964
admitted,8,1.000
admittedly,10,0.926
admitting,9,1.000
admixed,7,0.852
admonish,8,0.889
admonished,10,0.960
admonishing,11,0.828
admonishments,13,0.808
admonition,10,0.667
admonitions,11,0.727
ado,3,0.960
adobe,5,0.923
adolescence,11,0.963
adolescent,10,1.000
adolescents,11,1.000
adolescent's,12,0.963
Adolf,5,0.889
Adonis,6,0.615
adopt,5,1.000
adopted,7,1.000
adopting,8,0.929
adoption,8,1.000
adopts,6,1.000
adorable,8,1.000
adoration,9,0.926
adore,5,1.000
adored,6,1.000
adores,6,0.960
adorn,5,1.000
adorned,7,1.000
adornment,9,1.000
adorns,6,1.000
adrenal,7,0.739
adrenalin,9,1.000
Adrian,6,1.000
Adriatic,8,0.875
adrift,6,1.000
adroit,6,0.480
adroitness,10,0.682
ads,3,1.000
adsorbed,8,0.643
adsorbs,7,0.538
adulation,9,0.680
adult,5,1.000
adulterant,10,0.769
adulterate,10,0.783
adulterated,11,0.826
adulterer,9,0.960
adulterers,10,0.815
adulteress,10,0.963
adulterous,10,1.000
adultery,8,1.000
adulthood,9,1.000
adults,6,1.000
advance,7,1.000
advanced,8,1.000
advancement,11,1.000
advancements,12,1.000
advances,8,1.000
advancing,9,1.000
advantage,9,0.962
advantageous,12,0.800
advantageously,14,0.926
advantages,10,0.960
advent,6,0.964
adventitious,12,0.435
adventure,9,1.000
adventurers,11,1.000
adventures,10,1.000
adventuring,11,1.000
adventurous,11,1.000
adverb,6,1.000
adverbial,9,0.966
adverbs,7,1.000
adversaries,11,0.926
adversary,9,0.821
adverse,7,0.966
adversely,9,0.963
adversity,9,0.893
advert,6,1.000
advertise,9,1.000
advertised,10,1.000
advertisement,13,0.923
advertisements,14,1.000
advertiser,10,0.929
advertisers,11,0.893
advertises,10,0.852
advertising,11,1.000
advice,6,1.000
advisability,12,0.840
advisable,9,0.964
advise,6,1.000
advised,7,1.000
advisedly,9,0.889
advisement,10,0.964
adviser,7,1.000
advisers,8,0.960
advises,7,1.000
advising,8,1.000
advisor,7,1.000
advisors,8,0.963
advisory,8,1.000
advocacy,8,0.963
advocate,8,1.000
advocated,9,0.964
advocates,9,1.000
advocating,10,1.000
Aegean,6,0.684
aerate,6,0.706
aerated,7,0.696
aerates,7,0.750
aeration,8,0.826
aerator,7,0.696
aerial,6,0.962
aerials,7,0.963
aerobatic,9,0.826
aerobic,7,0.962
aerodynamic,11,0.929
aeronaut,8,0.875
aeronautical,12,0.923
aeronautics,11,0.826
aeroplane,9,0.966
aerosol,7,1.000
aerosolized,11,0.500
aerosols,8,0.962
aerospace,9,1.000
Aeschylus,9,0.154
aesthetic,9,0.963
aesthetics,10,0.889
afar,4,0.964
affable,7,0.846
affair,6,1.000
affairs,7,1.000
affect,6,1.000
affectation,11,0.538
affected,8,1.000
affecting,9,0.964
affectingly,11,0.821
affection,9,1.000
affectionate,12,1.000
affectionately,14,0.964
affections,10,1.000
affects,7,0.963
afferent,8,0.720
affianced,9,0.385
affidavit,9,0.852
affidavits,10,0.885
affiliate,9,1.000
affiliated,10,0.964
affiliates,10,0.926
affiliation,11,0.962
affiliations,12,0.929
affinities,10,0.960
affinity,8,0.840
affirm,6,1.000
affirmation,11,0.885
affirmations,12,0.889
affirmative,11,0.929
affirmatively,13,0.815
affirmed,8,1.000
affirming,9,1.000
affirms,7,0.958
affix,5,0.960
affixed,7,1.000
afflict,7,0.964
afflicted,9,1.000
affliction,10,1.000
afflictions,11,1.000
affluence,9,0.889
affluent,8,0.963
afford,6,0.962
afforded,8,1.000
affording,9,1.000
affords,7,1.000
affricate,9,0.600
affront,7,0.889
affronted,9,1.000
affronting,10,1.000
Afghan,6,0.964
Afghanistan,11,1.000
Afghans,7,1.000
aficionado,10,0.650
afield,6,0.815
afire,5,0.923
aflame,6,1.000
afloat,6,0.893
afoot,5,0.964
aforementioned,14,0.773
aforesaid,9,0.840
aforethought,12,0.680
afoul,5,0.821
afraid,6,1.000
Africa,6,1.000
African,7,1.000
Africans,8,1.000
afro,4,1.000
aft,3,0.852
after,5,1.000
afterbirth,10,1.000
aftercare,9,1.000
aftereffect,11,0.923
afterglow,9,1.000
afterlife,9,1.000
aftermath,9,1.000
afternoon,9,1.000
afternoons,10,1.000
afternoon's,11,1.000
aftershave,10,1.000
aftertaste,10,1.000
afterthought,12,0.964
afterward,9,1.000
afterwards,10,1.000
again,5,1.000
against,7,1.000
Agamemnon,9,0.526
Agamemnon's,11,0.643
agape,5,0.846
agar,4,0.680
Agatha,6,0.769
age,3,1.000
aged,4,1.000
ageless,7,0.964
agencies,8,1.000
agency,6,1.000
agenda,6,1.000
agent,5,1.000
agents,6,1.000
agent's,7,1.000
ages,4,1.000
Aggie,5,0.889
Aggies,6,0.692
agglomerate,11,0.571
agglomeration,13,0.667
agglutinating,13,0.385
agglutination,13,0.176
aggrandize,10,0.591
aggravate,9,1.000
aggravated,10,0.963
aggravates,10,0.885
aggravation,11,0.960
aggregate,9,0.957
aggregation,11,0.885
aggregations,12,1.000
aggression,10,0.964
aggressions,11,1.000
aggressive,10,1.000
aggressively,12,1.000
aggressiveness,14,0.963
aggressor,9,1.000
aggrieve,8,0.815
aggrieved,9,0.880
aghast,6,0.960
agile,5,0.926
agilely,7,0.667
agility,7,1.000
aging,5,0.964
agitate,7,0.889
agitated,8,1.000
agitating,9,0.923
agitation,9,0.962
agitator,8,0.962
agitators,9,0.929
agleam,6,0.600
aglow,5,0.966
Agnes,5,0.880
agnostic,8,0.923
agnostics,9,0.957
ago,3,0.963
agonies,7,1.000
agonize,7,0.963
agonized,8,1.000
agonizes,8,0.897
agonizing,9,1.000
agony,5,1.000
agoraphobia,11,0.852
agrarian,8,0.913
agree,5,1.000
agreeable,9,1.000
agreeableness,13,0.815
agreeably,9,0.962
agreed,6,1.000
agreeing,8,1.000
agreement,9,1.000
agreements,10,1.000
agrees,6,0.929
agricultural,12,0.926
agriculturalist,15,0.923
agriculturally,14,0.917
agriculture,11,1.000
agriculture's,13,1.000
agriculturist,13,0.852
Agrippa,7,0.400
agronomy,8,0.444
aground,7,0.963
ah,2,1.000
ahead,5,1.000
ahem,4,0.593
ahoy,4,0.960
aid,3,1.000
aide,4,1.000
aided,5,1.000
aides,5,1.000
aiding,6,1.000
aids,4,1.000
ail,3,0.821
ailerons,8,0.167
ailing,6,1.000
ailment,7,1.000
ailments,8,0.962
aim,3,1.000
aimed,5,1.000
aiming,6,1.000
aimless,7,1.000
aimlessly,9,1.000
aims,4,1.000
ain't,5,1.000
air,3,1.000
airbase,7,1.000
airbed,6,1.000
airbladder,10,0.960
airborne,8,1.000
airbrake,8,1.000
airbus,6,1.000
aircraft,8,1.000
aircraft's,10,1.000
aircrew,7,1.000
aircushion,10,0.962
airdrop,7,0.963
airdrops,8,1.000
aired,5,1.000
airfield,8,0.963
airfields,9,1.000
airflow,7,1.000
airforce,8,1.000
airframe,8,0.889
airily,6,0.821
airless,7,1.000
airlift,7,1.000
airline,7,1.000
airliner,8,1.000
airlines,8,1.000
airlock,7,1.000
airmail,7,1.000
airman's,8,1.000
airmen,6,0.926
airpark,7,0.929
airplane,8,1.000
airplanes,9,1.000
airport,7,1.000
airports,8,1.000
airs,4,1.000
airshaft,8,1.000
airship,7,1.000
airsick,7,1.000
airspace,8,1.000
airspeed,8,0.964
airstrip,8,1.000
airstrips,9,1.000
airtight,8,0.964
airway,6,1.000
airways,7,1.000
airy,4,0.964
aisle,5,1.000
ajar,4,0.963
akin,4,0.852
Akron,5,0.808
Al,2,1.000
Alabama,7,1.000
Alabamans,9,0.652
alabaster,9,0.926
Alamo,5,1.000
Alamogordo,10,0.308
Alan,4,1.000
alarm,5,1.000
alarmed,7,1.000
alarming,8,1.000
alarmingly,10,1.000
alarmist,8,1.000
alarms,6,1.000
alas,4,0.815
Alaska,6,1.000
albacore,8,0.875
Albania,7,0.923
Albanian,8,1.000
Albanians,9,0.963
Albany,6,1.000
albatross,9,0.852
albeit,6,0.667
Albert,6,1.000
albino,6,0.963
album,5,1.000
albumin,7,0.364
albums,6,1.000
alchemist,9,1.000
alchemy,7,0.889
alcohol,7,1.000
alcoholic,9,1.000
alcoholics,10,1.000
alcoholism,10,1.000
alcohols,8,1.000
alcove,6,0.792
alcoves,7,0.852
alderman,8,0.964
aldermen,8,1.000
ale,3,0.926
alehouse,8,1.000
alert,5,0.963
alerted,7,0.964
alerting,8,0.962
alertly,7,0.963
alertness,9,1.000
alerts,6,1.000
Alex,4,0.963
Alexander,9,1.000
Alexander's,11,1.000
Alexandria,10,1.000
Alexei,6,0.538
Alexis,6,1.000
Alex's,6,0.897
alfalfa,7,0.875
Alfonso,7,0.963
Alfred,6,1.000
alfredo,7,1.000
Alfred's,8,0.964
alga,4,0.720
algae,5,0.964
algaecide,9,0.333
algebra,7,1.000
algebraic,9,1.000
algebraically,13,0.926
Algeria,7,0.963
Algerian,8,0.917
Algerians,9,0.926
algorithm,9,0.880
alias,5,0.808
alibi,5,1.000
alibis,6,0.692
Alice,5,1.000
Alicia,6,0.931
alien,5,1.000
alienable,9,0.889
alienate,8,1.000
alienated,9,1.000
alienates,9,1.000
alienation,10,1.000
aliens,6,1.000
alight,6,0.846
align,5,1.000
aligned,7,0.926
aligning,8,0.962
alignment,9,1.000
alignments,10,1.000
alike,5,1.000
aliment,7,0.591
alimony,7,0.962
alive,5,1.000
alkali,6,0.792
alkaline,8,0.929
alkalis,7,0.417
all,3,1.000
Allah,5,0.926
Allan,5,0.963
allay,5,0.536
allegation,10,1.000
allegations,11,0.963
allege,6,0.808
alleged,7,0.962
allegedly,9,0.962
allegiance,10,0.963
allegiances,11,0.920
alleging,8,0.963
allegoric,9,0.762
allegorical,11,0.769
allegory,8,0.923
allegretto,10,0.522
allegro,7,1.000
Alleluia,8,0.450
Allen,5,0.926
Allen's,7,0.929
allergen,8,0.885
allergic,8,1.000
allergies,9,1.000
allergy,7,1.000
alleviate,9,0.963
alleviating,11,0.875
alleviation,11,0.962
alley,5,1.000
alleys,6,0.964
alleyway,8,1.000
alleyways,9,1.000
alliance,8,1.000
alliances,9,0.964
alliance's,10,0.893
allied,6,0.897
allies,6,0.880
alligator,9,1.000
alligatored,11,0.611
Allison,7,1.000
Allison's,9,1.000
alliterate,10,0.958
alliteration,12,0.840
alliterative,12,0.579
allocable,9,0.583
allocate,8,0.964
allocated,9,0.929
allocation,10,0.963
allocations,11,1.000
allopathic,10,0.773
allopathy,9,0.700
allot,5,0.962
alloted,7,0.923
allotment,9,1.000
allotments,10,0.964
allotted,8,0.929
allotting,9,0.923
allow,5,0.964
allowable,9,1.000
allowance,9,1.000
allowances,10,1.000
allowed,7,1.000
allowing,8,1.000
allows,6,1.000
alloy,5,0.857
alloys,6,0.889
allspice,8,0.778
alluded,7,0.923
alludes,7,0.963
alluding,8,0.964
allure,6,0.926
allurement,10,0.923
alluring,8,1.000
allusion,8,0.963
allusions,9,0.964
allusive,8,1.000
allusiveness,12,0.889
ally,4,0.846
almanac,7,0.963
Almighty,8,1.000
almond,6,1.000
almonds,7,0.897
almost,6,1.000
alms,4,0.929
aloe,4,0.885
aloes,5,0.654
aloft,5,0.897
alone,5,1.000
aloneness,9,1.000
along,5,1.000
alongside,9,1.000
aloof,5,1.000
aloofness,9,0.964
aloud,5,0.963
Alp,3,0.964
alpha,5,1.000
alphabet,8,1.000
alphabetic,10,0.963
alphabetical,12,0.966
alphabetized,12,0.923
Alpine,6,1.000
Alps,4,1.000
already,7,1.000
alright,7,0.964
Al's,4,1.000
also,4,1.000
altar,5,1.000
altarpiece,10,0.880
alter,5,1.000
alteration,10,0.963
alterations,11,0.962
altercate,9,1.000
altercation,11,0.923
altered,7,1.000
altering,8,1.000
alterman,8,0.964
alternate,9,1.000
alternated,10,0.962
alternately,11,0.800
alternating,11,0.962
alternation,11,0.963
alternative,11,0.963
alternatively,13,0.893
alternatives,12,1.000
alternator,10,0.962
alters,6,1.000
although,8,1.000
altitude,8,1.000
alto,4,0.962
altogether,10,1.000
altruism,8,0.893
altruist,8,0.720
altruistically,14,0.818
alum,4,0.885
aluminium,9,0.893
aluminum,8,1.000
alumnae,7,0.545
alumni,6,1.000
alveolar,8,0.364
alveoli,7,0.737
alveolus,8,0.737
always,6,1.000
am,2,0.962
amalgamate,10,0.818
amalgamated,11,0.684
amalgamation,12,0.647
amass,5,0.926
amassing,8,0.929
amateur,7,1.000
amateurish,10,0.846
amateurishness,14,0.714
amateurs,8,0.960
amatory,7,0.560
amaze,5,1.000
amazed,6,1.000
amazement,9,1.000
amazing,7,1.000
amazingly,9,1.000
Amazon,6,1.000
Amazonian,9,0.889
Amazons,7,1.000
ambassador,10,0.962
ambassadors,11,1.000
ambassador's,12,1.000
amber,5,1.000
ambiance,8,0.963
ambidextrous,12,0.889
ambience,8,0.852
ambient,7,0.920
ambiguities,11,0.917
ambiguity,9,0.852
ambiguous,9,0.964
ambition,8,1.000
ambitions,9,1.000
ambitious,9,1.000
ambitiously,11,1.000
ambivalence,11,1.000
ambivalent,10,0.889
amble,5,0.929
ambled,6,0.786
ambling,7,0.889
Ambrose,7,0.885
ambrosia,8,0.885
ambrosial,9,0.640
ambulance,9,0.960
ambulances,10,1.000
ambulatory,10,0.960
ambuscade,9,0.400
ambush,6,1.000
ambushed,8,1.000
ambushes,8,0.962
Amelia's,8,1.000
ameliorate,10,0.864
Amen,4,0.963
amenable,8,0.792
amend,5,0.962
amendable,9,0.917
amended,7,0.962
amending,8,0.964
amendment,9,0.964
amendments,10,1.000
amendment's,11,0.963
amenity,7,0.846
America,7,0.963
American,8,1.000
Americana,9,0.893
Americanize,11,1.000
Americans,9,1.000
American's,10,0.962
Americas,8,1.000
America's,9,1.000
amethyst,8,0.875
amiable,7,0.833
amicable,8,0.870
amicably,8,0.609
amid,4,1.000
amide,5,0.583
amidst,6,0.704
amigo,5,1.000
amino,5,0.852
amiss,5,0.929
amity,5,0.808
ammo,4,0.966
ammonia,7,0.964
ammonium,8,0.926
ammunition,10,0.960
amnesia,7,1.000
amnesty,7,0.960
amoeba,6,0.815
amok,4,0.783
among,5,1.000
amongst,7,1.000
amoral,6,0.826
amorality,9,0.696
amorist,7,0.769
amorous,7,0.833
amorphous,9,0.630
amorphously,11,0.789
amortization,12,0.762
amortize,8,0.550
amory,5,0.625
amount,6,1.000
amounted,8,1.000
amounting,9,0.964
amounts,7,1.000
amour,5,0.714
amp,3,1.000
ampere,6,0.667
ampersand,9,0.857
amphetamine,11,0.762
amphetamines,12,0.900
amphibian,9,1.000
amphibious,10,0.923
amphitheater,12,0.885
ample,5,0.966
amplification,13,0.960
amplified,9,1.000
amplifier,9,0.963
amplifiers,10,1.000
amplify,7,1.000
amplifying,10,1.000
amplitude,9,0.923
amply,5,0.920
amputate,8,1.000
amputated,9,1.000
amputation,10,1.000
amputee,7,0.963
Amsterdam,9,1.000
amuck,5,0.821
amulet,6,0.885
amulets,7,0.885
amuse,5,0.960
amused,6,1.000
amusedly,8,0.963
amusement,9,1.000
amusements,10,1.000
amusing,7,1.000
amusingly,9,0.962
Amy,3,1.000
an,2,1.000
anachronism,11,0.857
anachronisms,12,0.722
anachronistically,17,0.333
anaconda,8,0.964
anacondas,9,1.000
anaconda's,10,1.000
anaerobic,9,0.958
anaesthetic,11,0.864
anaesthetize,12,0.538
anagram,7,1.000
anal,4,0.960
analeptic,9,0.826
analogies,9,0.840
analogous,9,0.750
analogy,7,1.000
analysed,8,0.923
analyses,8,0.885
analysis,8,0.815
analyst,7,0.962
analysts,8,1.000
analyst's,9,0.893
analytic,8,1.000
analytical,10,1.000
analytically,12,1.000
analyzable,10,0.909
analyze,7,1.000
analyzed,8,1.000
analyzer,8,1.000
analyzes,8,0.962
analyzing,9,1.000
anarchic,8,0.737
anarchical,10,0.300
anarchism,9,0.792
anarchist,9,0.960
anarchy,7,1.000
anatomic,8,0.909
anatomical,10,0.926
anatomically,12,0.792
anatomy,7,0.962
ancestor,8,0.960
ancestors,9,1.000
ancestral,9,1.000
ancestry,8,1.000
anchor,6,1.000
Anchorage,9,1.000
anchored,8,1.000
anchoring,9,0.962
anchorman,9,0.926
anchors,7,1.000
anchovy,7,0.850
ancient,7,0.955
anciently,9,0.917
ancients,8,1.000
ancillary,9,0.640
and,3,1.000
andante,7,0.400
Andean,6,0.593
Andersen,8,1.000
Andover,7,0.926
Andre,5,0.926
Andrea,6,0.960
Andrew,6,1.000
androgynous,11,0.762
Andy,4,1.000
Andy's,6,1.000
anecdotal,9,0.619
anecdote,8,0.870
anecdotes,9,0.818
anemia,6,1.000
anemic,6,0.952
anemone,7,0.550
anesthetic,10,0.962
anesthetically,14,0.950
anesthetics,11,0.880
anesthetized,12,0.478
anew,4,0.958
angel,5,1.000
angelic,7,1.000
Angelica,8,1.000
Angelina,8,0.920
Angelo,6,0.920
Angelo's,8,1.000
angels,6,1.000
angel's,7,0.960
anger,5,0.963
angered,7,1.000
Angie,5,0.963
angle,5,1.000
angler,6,1.000
angles,6,0.926
Anglican,8,0.792
Anglicanism,11,0.500
Anglicans,9,0.833
Anglicism,9,0.571
Anglicize,9,0.333
angling,7,0.893
Anglophile,10,0.588
Anglophilia,11,0.619
Anglophobe,10,0.571
Anglophobia,11,0.950
Angola,6,0.769
Angora,6,0.964
angriest,8,1.000
angrily,7,1.000
angry,5,1.000
angst,5,0.846
anguish,7,1.000
anguished,9,1.000
angular,7,1.000
anhydrous,9,0.381
anhydrously,11,0.462
animal,6,1.000
animalism,9,0.923
animals,7,1.000
animal's,8,1.000
animate,7,1.000
animated,8,1.000
animation,9,1.000
animism,7,0.696
animosity,9,1.000
anion,5,0.520
anionic,7,0.500
